"","Precinct","RegisteredVoters","BallotsCast","Turnout","Bill Schuette / Lisa Posthumus Lyons (REP)","Gretchen Whitmer / Garlin D. Gilchrist II (DEM)
","Bill Gelineau / Angelique Chaiser Thomas (LIB)","Todd Schleiger / Earl P. Lackie (UST)","Jennifer V. Kurland / Charin H. Davenport (GRN)","Keith Butkovich / Raymond Warner (NLP)","Mary Treder Lang (REP)","Jocelyn Benson (DEM)","Gregory Scott Stempfle (LIB)","Robert Gale (UST)","Tom Leonard (REP)","Dana Nessel (DEM)","Lisa Lane Gioia (LIB)","Gerald T. Van Sickle (UST)","Chris Graveline (NPA)","John James (REP)","Debbie Stabenow (DEM)","George E. Huffman III (UST)","Marcia Squier (GRN)","John Howard Wilhelm (NLP)","Bill Huizenga (REP)","Rob Davidson (DEM)","Ronald E. Graeser (UST)","Justin Amash (REP)","Cathy Albro (DEM)","Ted Gerrard (UST)","Aric Nesbitt (REP)","Garnet Lewis (DEM)","Erwin Haas (LIB)","Robert M. Alway (GRN)","Peter MacGregor (REP)","Craig Beach (DEM)","Nathan Hewer (LIB)","Chris Afendoulis (REP)","Winnie Brinks (DEM)","Robert VanNoller (LIB)","Louis Palus (WCP)","Steven Johnson (REP)","Ron Draayer (DEM)","Jamie Lewis (LIB)","Lynn Afendoulis (REP)","Bill Saxton (DEM)","Mark E. Huizenga (REP)","Meagan L. Carr (DEM)","Daniel Allen Schutte (REP)","David LaGrand (DEM)","Jacob Straley (GRN)","Amanda Brand (REP)","Rachel Hood (DEM)","Tommy Brann (REP)","Dana Knight (DEM)","Patty Malowney (LIB)","Brandon Hoezee (UST)","Thomas A. Albert (REP)","Lauren Taylor (DEM)","Sue Norman (NPA)","Tami Carlone (REP)","Richard Zeile (REP)","Judith P. Pritchett (DEM)","Tiffany Tilley (DEM)","Scotty Boman (LIB)","John J. Tatar (LIB)","Karen Adams (UST)","Douglas Levesque (UST)","Sherry A. Wells (GRN)","Mary Anne Hering (WCP)","Logan R. Smith (WCP)","AndreaFischer
          Newman  (REP)
","Andrew
          Richner (REP)
","Jordan
          Acker (DEM)
","Paul
          Brown (DEM)
","JamesLewis
          Hudler (LIB)
","John
          Jascob (LIB)
","Joe
          Sanger (UST)
","CrystalVan
          Sickle (UST)
","KevinA.
          Graves (GRN)
","MargeKatchmark
          Sallows (NLP)
","Dave
            Dutch (REP)
","Mike
            Miller (REP)
","BriannaT.
            Scott (DEM)
","KellyCharron
            Tebay  (DEM)
","Bruce
            Campbell  (LIB)
","Tim
            Orzechowski  (LIB)
","JanetM.
            Sanger  (UST)
","JohnPaul
            Sanger  (UST)
","Aaron
            Mariasy  (GRN)
","BridgetteR.
            Abraham-Guzman (NLP)
","Diane
           Dunaskiss (REP)
","David
           Nicholson (REP)
","BryanC.
           Barnhill (DEM)
","Anil
           Kumar (DEM)
","Jon
           Elgas  (LIB)
","JohnT.
           Hargenrader  (LIB)
","ChristineC.
           Schwartz (UST)
","MarcJoseph
           Sosnowski  (UST)
","TheodoreVonk  (REP)","DeborahHavens  (DEM)","EmilyPostBrieve  (REP)","JimSaalfeld  (REP)","AugustTreu  (DEM)","JillMartinez  (REP)","MonicaSparks  (DEM)","CharlotteAikens  (GRN)","JessicaAnnTyson  (REP)","BetsyMelton   (DEM)","KyleBrethauer  (REP)","CarolM.Hennessy  (DEM)","JoelHerbertTownsend  (REP)","JimTalen  (DEM)","JennaVandeKamp  (REP)","DavidBulkowski  (DEM)","CourtneyPanter  (REP)","RobertWomack  (DEM)","DanKoorndyk  (REP)","StephenWooden  (DEM)","LaurelAbraham  (REP)","PhilSkaggs  (DEM)","ThomasAntor  (REP)","JeremiahAnway  (DEM)","RogerC.Morgan  (REP)","DianeJones  (REP)","KariSmith  (DEM)","MandyBolter  (REP)","NevilleJ.Mark  (DEM)","StanStek  (REP)","PamDeGryse  (DEM)","StanPonstein  (REP)","MikeJohnson  (DEM)","HaroldVoorhees  (REP)","MattKallman  (REP)","BobSmith  (DEM)"
"228","Wyoming Ward 1 Precinct 6",1502,729,"48%",265,411,21,13,7,1,254,422,19,14,274,371,21,14,22,282,408,10,15,2,275,407,28,NA,NA,NA,NA,NA,NA,NA,276,392,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,338,338,21,13,NA,NA,NA,233,192,340,324,18,17,19,10,16,35,31,231,201,336,327,20,17,15,30,23,13,211,202,352,328,27,16,21,11,16,22,229,195,343,312,27,16,37,18,NA,NA,NA,NA,NA,262,395,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","Wyoming Ward 1 Precinct 7",1890,1143,"60%",612,482,24,9,6,3,617,475,20,12,609,436,37,11,22,635,482,2,8,3,623,477,22,NA,NA,NA,NA,NA,NA,NA,622,447,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,698,383,22,11,NA,NA,NA,551,513,401,365,36,28,12,2,17,25,22,544,511,375,364,19,29,9,20,18,12,521,526,404,360,32,23,15,5,13,11,532,494,377,338,34,26,28,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,606,435
"230","Wyoming Ward 1 Precinct 8",1230,576,"46%",254,288,18,4,4,0,248,276,21,14,258,255,26,8,6,279,273,6,9,1,266,271,16,NA,NA,NA,NA,NA,NA,NA,259,270,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,282,250,20,5,NA,NA,NA,208,176,221,210,25,15,6,2,7,30,15,201,182,213,198,18,15,14,16,14,10,189,181,229,188,23,15,21,14,11,6,198,174,214,184,24,20,21,13,NA,NA,NA,NA,NA,230,288,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231","Wyoming Ward 1 Precinct 9",2268,1029,"45%",368,594,13,16,13,7,348,590,38,22,378,515,45,16,32,391,562,18,27,15,390,566,32,NA,NA,NA,NA,NA,NA,NA,382,545,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,435,503,26,20,NA,NA,NA,326,272,457,450,28,26,23,8,19,55,29,320,294,464,437,28,29,14,31,28,33,311,296,492,420,33,22,31,12,26,31,329,294,460,420,29,29,57,24,NA,NA,NA,NA,NA,365,573,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","Wyoming Ward 2 Precinct 10",1478,665,"44%",231,396,10,4,12,4,226,402,17,9,226,376,18,13,11,237,395,10,10,5,238,390,17,NA,NA,NA,NA,NA,NA,NA,230,394,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,252,363,10,17,NA,NA,NA,202,175,311,297,25,14,18,9,14,35,17,200,182,297,301,15,14,16,20,17,13,189,185,325,271,19,21,17,13,13,15,198,175,316,274,21,15,29,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230,387,NA,NA,NA
"233","Wyoming Ward 2 Precinct 11",1351,568,"42%",152,376,18,4,10,4,152,373,22,7,157,341,18,10,13,173,361,10,10,5,165,371,15,NA,NA,NA,NA,NA,NA,NA,160,359,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186,334,16,10,NA,NA,NA,129,123,281,277,17,16,8,8,16,35,28,127,118,281,279,16,15,13,17,21,11,124,114,297,261,21,10,16,21,17,15,127,115,287,273,20,14,27,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155,364,NA,NA,NA
"234","Wyoming Ward 2 Precinct 12",1280,508,"39%",171,301,12,3,6,4,172,301,14,6,173,277,19,8,11,178,287,8,14,4,184,290,12,NA,NA,NA,NA,NA,NA,NA,173,288,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196,264,22,4,NA,NA,NA,149,136,227,223,24,18,15,4,8,25,12,151,134,234,220,14,14,8,17,11,9,145,148,254,206,21,9,15,7,9,12,151,133,231,215,19,17,19,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165,301,NA,NA,NA
"235","Wyoming Ward 2 Precinct 13",1666,873,"52%",364,453,17,11,14,5,366,447,26,15,376,417,22,11,22,398,430,8,16,7,399,440,13,NA,NA,NA,NA,NA,NA,NA,394,429,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,415,404,14,15,NA,NA,NA,314,283,348,322,30,22,14,8,18,45,34,315,285,349,328,24,21,19,20,19,12,302,292,364,314,24,19,25,10,16,15,314,282,342,313,30,16,39,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368,437,NA,NA,NA
"236","Wyoming Ward 2 Precinct 14",1166,666,"57%",329,299,14,4,8,2,330,293,19,10,338,254,24,9,18,353,285,7,11,1,358,281,13,NA,NA,NA,NA,NA,NA,NA,346,272,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,234,22,7,NA,NA,NA,295,272,229,218,21,18,8,6,15,30,19,282,298,218,202,25,15,10,24,12,9,274,284,238,203,28,14,15,7,12,13,298,279,223,194,27,18,19,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,348,276,NA,NA,NA
"237","Wyoming Ward 2 Precinct 15",968,530,"54%",219,279,21,2,2,0,220,272,13,11,219,247,24,2,16,240,263,2,11,2,237,262,10,NA,NA,NA,NA,NA,NA,NA,220,259,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,256,231,12,6,NA,NA,NA,201,176,209,199,23,21,8,2,7,32,24,190,178,211,188,22,17,8,20,12,7,182,184,219,196,18,18,10,3,9,11,194,172,215,189,21,15,19,11,NA,NA,NA,NA,NA,219,257,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238","Wyoming Ward 2 Precinct 16",1352,771,"57%",355,373,17,4,9,2,362,353,25,6,360,328,32,4,12,393,330,4,18,8,394,333,18,NA,NA,NA,NA,NA,NA,NA,375,318,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,399,293,37,9,NA,NA,NA,324,303,271,269,39,24,7,3,17,19,20,329,290,276,242,27,23,7,21,15,13,305,304,280,253,32,21,13,5,14,10,314,290,263,244,36,18,22,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,362,324,NA,NA,NA
"239","Wyoming Ward 2 Precinct 17",1923,793,"41%",252,503,16,3,12,1,250,485,24,10,255,443,34,7,17,276,464,13,15,8,273,479,11,NA,NA,NA,NA,NA,NA,NA,268,459,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,278,451,20,10,NA,NA,NA,226,204,384,380,27,19,16,6,13,35,28,229,206,382,371,21,19,3,16,15,16,206,206,412,354,19,16,16,2,13,24,218,206,403,358,23,15,23,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,248,471,NA,NA,NA
"240","Wyoming Ward 2 Precinct 18",1211,667,"55%",276,359,15,3,6,2,275,340,23,7,289,311,18,5,15,295,336,7,12,7,299,340,13,NA,NA,NA,NA,NA,NA,NA,291,314,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,325,281,19,11,NA,NA,NA,235,208,281,255,23,13,6,5,12,33,18,242,207,261,249,23,18,7,12,14,11,225,208,271,248,21,19,9,11,11,18,226,211,272,235,22,20,23,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,424,NA,NA
"241","Wyoming Ward 2 Precinct 19",1853,1047,"56%",420,563,29,6,12,3,426,553,26,20,433,515,29,10,19,453,531,14,15,15,448,544,19,NA,NA,NA,NA,NA,NA,NA,437,518,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,466,27,19,NA,NA,NA,351,340,461,424,35,21,18,9,21,37,30,360,341,442,416,20,22,19,39,27,21,343,347,462,407,25,25,28,15,16,21,358,324,429,401,34,24,41,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,649,NA,NA
"242","Wyoming Ward 2 Precinct 20",1939,1002,"51%",408,527,29,13,7,2,379,544,41,17,415,464,42,10,33,414,534,12,18,4,434,517,22,NA,NA,NA,NA,NA,NA,NA,408,496,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,484,433,31,17,NA,NA,NA,326,292,416,401,52,31,26,8,20,57,25,332,309,417,388,26,32,16,37,25,19,311,315,433,383,41,25,32,18,16,14,340,297,399,370,39,31,57,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,642,NA,NA
"243","Wyoming Ward 3 Precinct 21",2306,1266,"54%",606,585,31,5,12,5,578,602,31,8,618,517,34,15,21,632,570,12,14,3,629,571,24,NA,NA,NA,NA,NA,NA,NA,615,550,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,695,480,21,12,NA,NA,NA,515,478,470,452,42,29,27,10,17,54,32,513,474,454,430,28,30,17,34,25,18,473,500,458,434,37,32,30,17,17,18,514,474,432,403,37,26,45,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,861,NA,NA
"244","Wyoming Ward 3 Precinct 22",1327,781,"58%",352,390,11,8,7,1,357,383,13,10,370,336,14,10,22,360,388,5,10,6,384,362,16,NA,NA,NA,NA,NA,NA,NA,362,355,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,415,308,12,8,NA,NA,NA,323,298,292,275,20,8,15,10,8,35,19,309,297,299,276,17,16,10,19,16,11,304,297,315,268,19,8,18,12,9,15,304,284,300,271,17,12,30,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,511,NA,NA
"245","Wyoming Ward 3 Precinct 23",2223,1060,"47%",390,607,28,4,18,1,401,582,33,20,421,541,30,12,23,414,575,12,30,8,429,579,19,NA,NA,NA,NA,NA,NA,NA,398,556,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,453,519,31,17,NA,NA,NA,351,317,481,462,42,24,24,11,26,45,32,364,334,457,433,29,32,14,25,30,23,336,335,485,425,39,32,25,11,25,21,348,316,450,441,42,29,42,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,662,NA,NA
"246","Wyoming Ward 3 Precinct 24",2330,1202,"51%",547,595,28,7,5,4,531,586,42,12,566,516,43,14,19,572,571,14,14,8,582,562,21,NA,NA,NA,NA,NA,NA,NA,571,528,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,606,493,39,11,NA,NA,NA,480,448,453,457,47,31,17,8,15,46,42,474,439,462,415,39,35,21,28,27,22,454,457,453,414,50,35,31,19,13,20,451,455,448,407,43,33,42,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,788,NA,NA
"247","Wyoming Ward 3 Precinct 25",1673,1175,"70%",681,453,21,4,5,0,675,444,25,5,704,394,20,4,10,704,442,5,10,0,695,439,11,NA,NA,NA,NA,NA,NA,NA,692,415,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,748,353,25,7,NA,NA,NA,615,575,360,368,41,25,6,11,15,24,18,605,582,337,309,22,27,15,22,21,18,582,589,347,317,36,33,16,12,13,11,587,571,325,294,38,23,23,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,833,NA,NA
"248","Wyoming Ward 3 Precinct 26",1254,791,"63%",371,386,18,3,1,0,388,364,16,5,393,334,24,8,11,386,378,2,8,1,402,361,7,NA,NA,NA,NA,NA,NA,NA,389,346,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,439,301,19,1,NA,NA,NA,345,336,313,297,25,13,8,4,9,16,8,326,327,295,283,24,18,6,10,10,9,324,322,309,277,25,20,12,4,7,2,334,315,281,279,23,23,12,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,527,NA,NA
"249","Wyoming Ward 3 Precinct 27",1233,767,"62%",404,336,16,2,5,2,399,336,17,2,412,298,14,4,15,421,322,4,11,1,414,322,13,NA,NA,NA,NA,NA,NA,NA,402,307,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,439,273,21,2,NA,NA,NA,360,336,273,254,22,14,7,4,11,13,11,342,329,264,243,19,18,6,11,5,5,329,329,282,236,19,17,14,6,5,7,351,319,255,235,18,13,17,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,516,NA,NA
"250","Wyoming Ward 3 Precinct 28",1984,1344,"67%",767,535,16,6,9,2,760,521,20,13,786,450,28,13,22,799,514,5,10,1,795,509,11,NA,NA,NA,NA,NA,NA,NA,770,479,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,838,411,24,14,NA,NA,NA,695,644,443,404,38,23,18,6,17,34,17,670,646,408,390,27,28,21,29,16,15,649,644,422,376,33,32,32,20,14,11,672,623,392,358,24,28,45,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,974,NA,NA
"251","Wyoming Ward 3 Precinct 29",1566,1104,"70%",627,446,12,4,4,1,628,434,16,10,639,391,26,8,7,658,418,7,10,1,666,411,10,NA,NA,NA,NA,NA,NA,NA,653,387,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,685,356,16,5,NA,NA,NA,569,533,358,328,27,21,15,4,16,28,13,568,517,336,314,16,16,12,24,9,13,548,523,361,316,24,17,16,10,9,6,554,508,326,317,19,17,31,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,777,NA,NA
"252","Wyoming Ward 3 Precinct 30",1989,1405,"70%",853,514,15,5,5,0,864,487,19,4,882,430,20,3,23,907,465,3,6,3,901,457,14,NA,NA,NA,NA,NA,NA,NA,895,436,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,916,388,26,8,NA,NA,NA,796,732,398,372,39,28,16,8,10,22,9,769,739,354,344,25,22,8,20,13,18,744,722,388,360,39,22,17,5,8,13,771,689,353,330,28,22,20,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1035,NA,NA
