TOTALS: 252 of 252 Precincts ,RegisteredVoters,BallotsCast,Turnout,Yes,No
Grand Rapids  Ward 3  Precinct 55,2164,1449,66%,929,420
Grand Rapids  Ward 3  Precinct 56,2007,1289,64%,769,450
Grand Rapids  Ward 3  Precinct 57,1234,805,65%,476,276
Grand Rapids  Ward 3  Precinct 58,1771,1130,63%,678,409
Grand Rapids  Ward 3  Precinct 59,2393,1610,67%,1099,436
Grand Rapids  Ward 3  Precinct 60,2375,1329,55%,1000,251
Grand Rapids  Ward 3  Precinct 61,899,571,63%,425,105
Grand Rapids  Ward 3  Precinct 62,1823,851,46%,584,225
Grand Rapids  Ward 3  Precinct 63,1860,891,47%,592,237
Grand Rapids  Ward 3  Precinct 64,1984,885,44%,602,189
Grand Rapids  Ward 3  Precinct 65,2000,965,48%,575,305
Grand Rapids  Ward 3  Precinct 66,2363,819,34%,600,178
Grand Rapids  Ward 3  Precinct 67,2799,1032,36%,736,230
Grand Rapids  Ward 3  Precinct 68,1642,1135,69%,855,233
Grand Rapids  Ward 3  Precinct 69,1359,983,72%,576,338
Grand Rapids  Ward 3  Precinct 70,1791,660,36%,475,143
Grand Rapids  Ward 3  Precinct 71,1695,957,56%,687,212
Grand Rapids  Ward 3  Precinct 72,871,603,69%,410,151
Grand Rapids  Ward 3  Precinct 73,1165,766,65%,506,214
Grand Rapids  Ward 3  Precinct 74,1371,808,58%,529,220
Grand Rapids  Ward 3  Precinct 75,1209,602,49%,438,137
Grand Rapids  Ward 3  Precinct 76,1577,653,41%,496,120
Grand Rapids  Ward 3  Precinct 77,1291,916,70%,598,274
Grand Rapids Charter Township  Precinct 1,1513,1075,71%,570,455
Grand Rapids Charter Township  Precinct 2,1016,738,72%,393,313
Grand Rapids Charter Township  Precinct 3,1812,1358,74%,796,454
Grand Rapids Charter Township  Precinct 4,1733,1263,72%,755,452
Grand Rapids Charter Township  Precinct 5,1863,1364,73%,858,425
Grand Rapids Charter Township  Precinct 6,1720,1276,74%,691,513
Grand Rapids Charter Township  Precinct 7,1043,669,64%,362,268
Grand Rapids Charter Township  Precinct 8,1783,1300,72%,721,516
Grand Rapids Charter Township  Precinct 9,1156,892,77%,452,395
Grandville  Precinct 1,1577,1029,65%,538,427
Grandville  Precinct 2,2014,1232,61%,621,520
Grandville  Precinct 3,2197,1391,63%,667,609
Grandville  Precinct 4,1979,1483,74%,730,654
Grandville  Precinct 5,2147,1489,69%,665,736
Grandville  Precinct 6,1655,1182,71%,540,564
Grattan Township  Precinct 1,1502,993,66%,358,600
Grattan Township  Precinct 2,1598,1133,70%,457,614
Kentwood  Ward 1  Precinct 1,2072,1009,48%,516,424
Kentwood  Ward 1  Precinct 2,2787,1711,61%,916,702
Kentwood  Ward 1  Precinct 3,1524,971,63%,492,431
Kentwood  Ward 1  Precinct 4,1385,654,47%,346,251
Kentwood  Ward 1  Precinct 5,1192,647,54%,323,286
Kentwood  Ward 1  Precinct 6,2226,1085,48%,605,426
Kentwood  Ward 1  Precinct 7,1944,1075,55%,616,394
Kentwood  Ward 1  Precinct 8,2348,1578,67%,863,651
Kentwood  Ward 1  Precinct 9,2145,1149,53%,647,401
Kentwood  Ward 2  Precinct 10,2150,1401,65%,781,534
Kentwood  Ward 2  Precinct 11,2803,1759,62%,1007,676
Kentwood  Ward 2  Precinct 12,1551,929,59%,512,358
Kentwood  Ward 2  Precinct 13,2030,1207,59%,646,466
Kentwood  Ward 2  Precinct 14,787,514,65%,296,193
Kentwood  Ward 2  Precinct 15,2618,1231,47%,775,390
Kentwood  Ward 2  Precinct 16,2612,1825,69%,1052,679
Kentwood  Ward 2  Precinct 17,1674,765,45%,493,223
Kentwood  Ward 2  Precinct 18,2017,1003,49%,642,295
Lowell  Precinct 1,1606,965,60%,507,407
Lowell  Precinct 2,1377,738,53%,378,323
Lowell Charter Township  Precinct 1,2438,1661,68%,669,923
Lowell Charter Township  Precinct 2,2269,1350,59%,680,597
Nelson Township  Precinct 1,2306,1112,48%,440,610
Nelson Township  Precinct 2,1580,968,61%,409,504
Oakfield Township  Precinct 1,1557,983,63%,428,508
Oakfield Township  Precinct 2,1812,1080,59%,411,615
Oakfield Township  Precinct 3 ,1321,783,59%,309,433
Plainfield Charter Township  Precinct 1,2614,1944,74%,917,894
Plainfield Charter Township  Precinct 2,2249,1437,63%,700,655
Plainfield Charter Township  Precinct 3,2112,1215,57%,642,493
Plainfield Charter Township  Precinct 4,2300,1467,63%,804,575
Plainfield Charter Township  Precinct 5,2123,1393,65%,696,608
Plainfield Charter Township  Precinct 6,3012,2043,67%,1004,920
Plainfield Charter Township  Precinct 7,2717,1948,71%,932,897
Plainfield Charter Township  Precinct 8,2819,1909,67%,1003,790
Plainfield Charter Township  Precinct 9,2445,1611,65%,722,794
Plainfield Charter Township  Precinct 10,1777,1345,75%,650,617
Plainfield Charter Township  Precinct 11,1706,1286,75%,661,558
Rockford  Precinct 1,1866,1204,64%,646,462
Rockford  Precinct 2,2510,1730,68%,955,658
Solon Township  Precinct 1,1814,1095,60%,409,615
Solon Township  Precinct 2,2765,1630,58%,629,901
Sparta Township  Precinct 1,2898,1650,56%,808,744
Sparta Township  Precinct 2,1516,912,60%,375,502
Sparta Township  Precinct 3,1969,1135,57%,487,586
Spencer Township  Precinct 1,2952,1803,61%,686,1000
Tyrone Township  Precinct 1,1760,1063,60%,403,616
Tyrone Township  Precinct 2,1401,819,58%,353,429
Vergennes Township  Precinct 1,1870,1365,72%,587,700
Vergennes Township  Precinct 2,1653,1167,70%,541,555
Walker  Ward 1  Precinct 1,2037,997,48%,610,334
Walker  Ward 1  Precinct 2,1733,1176,67%,566,537
Walker  Ward 1  Precinct 3,1996,1316,65%,706,516
Walker  Ward 2  Precinct 4,2243,1567,69%,728,746
Walker  Ward 2  Precinct 5,1904,1341,70%,580,677
Walker  Ward 2  Precinct 6,1880,1193,63%,586,526
Walker  Ward 3  Precinct 7,1966,1352,68%,665,597
Walker  Ward 3  Precinct 8,1759,1268,72%,511,671
Walker  Ward 3  Precinct 9,1981,1274,64%,620,567
Wyoming  Ward 1  Precinct 1,1870,915,48%,509,358
Wyoming  Ward 1  Precinct 2,1311,535,40%,303,204
Wyoming  Ward 1  Precinct 3,2130,940,44%,540,354
Wyoming  Ward 1  Precinct 4,2019,1071,53%,582,440
Wyoming  Ward 1  Precinct 5,2086,1037,49%,569,421
Wyoming  Ward 1  Precinct 6,1502,729,48%,411,288
Wyoming  Ward 1  Precinct 7,1890,1143,60%,541,548
Wyoming  Ward 1  Precinct 8,1230,576,46%,306,231
Wyoming  Ward 1  Precinct 9,2268,1029,45%,576,396
Wyoming  Ward 2  Precinct 10,1478,665,44%,389,235
Wyoming  Ward 2  Precinct 11,1351,568,42%,333,198
Wyoming  Ward 2  Precinct 12,1280,508,39%,279,187
Wyoming  Ward 2  Precinct 13,1666,873,52%,493,331
Wyoming  Ward 2  Precinct 14,1166,666,57%,335,299
Wyoming  Ward 2  Precinct 15,968,530,54%,282,218
Wyoming  Ward 2  Precinct 16,1352,771,57%,406,320
Wyoming  Ward 2  Precinct 17,1923,793,41%,500,224
Wyoming  Ward 2  Precinct 18,1211,667,55%,357,260
Wyoming  Ward 2  Precinct 19,1853,1047,56%,582,395
Wyoming  Ward 2  Precinct 20,1939,1002,51%,547,404
Wyoming  Ward 3  Precinct 21,2306,1266,54%,662,538
Wyoming  Ward 3  Precinct 22,1327,781,58%,387,339
Wyoming  Ward 3  Precinct 23,2223,1060,47%,608,388
Wyoming  Ward 3  Precinct 24,2330,1202,51%,684,451
Wyoming  Ward 3  Precinct 25,1673,1175,70%,509,603
Wyoming  Ward 3  Precinct 26,1254,791,63%,422,338
Wyoming  Ward 3  Precinct 27,1233,767,62%,400,320
Wyoming  Ward 3  Precinct 28,1984,1344,67%,669,613
Wyoming  Ward 3  Precinct 29,1566,1104,70%,527,523
Wyoming  Ward 3  Precinct 30,1989,1405,70%,628,688
