TOTALS: 252 of 252 Precincts ,RegisteredVoters,BallotsCast,Turnout,"Dave
            Dutch (REP)
        ","Mike
            Miller (REP)
        ","BriannaT.
            Scott (DEM)
        ","KellyCharron
            Tebay  (DEM)
        ","Bruce
            Campbell  (LIB)
        ","Tim
            Orzechowski  (LIB)
        ","JanetM.
            Sanger  (UST)
        ","JohnPaul
            Sanger  (UST)
        ","Aaron
            Mariasy  (GRN)
        ","BridgetteR.
            Abraham-Guzman (NLP)
        ",WriteIn
Alpine Township  Precinct 5,1013,694,68%,330,348,190,174,16,14,24,19,6,8,2
Alpine Township  Precinct 6,1936,672,34%,118,130,382,328,24,16,15,9,19,13,4
Bowne Township  Precinct 1,2363,1677,70%,985,957,326,282,37,22,30,27,16,17,7
Byron Township  Precinct 1,2421,1747,72%,1088,1090,296,263,47,36,25,20,18,22,11
Byron Township  Precinct 2,2599,1956,75%,1164,1169,420,381,54,43,29,18,17,18,3
Byron Township  Precinct 3,2685,1108,41%,419,415,422,346,32,13,27,21,22,22,11
Byron Township  Precinct 4,2009,1514,75%,984,993,245,232,32,22,22,15,9,12,1
Byron Township  Precinct 5,2372,1731,72%,1133,1129,262,243,44,33,16,7,6,14,5
Byron Township  Precinct 6,1468,1077,73%,599,607,243,224,31,24,20,14,9,7,3
Byron Township  Precinct 7,2234,1469,65%,788,787,379,330,36,34,23,11,10,9,1
Byron Township  Precinct 8,2169,1526,70%,772,776,469,406,45,28,30,15,13,14,4
Caledonia Township  Precinct 1,1133,758,66%,355,363,228,222,25,20,10,9,11,8,1
Caledonia Township  Precinct 2,2162,1486,68%,819,804,369,320,29,25,24,14,14,7,8
Caledonia Township  Precinct 3,2063,1480,71%,812,805,369,328,55,48,36,21,21,17,3
Caledonia Township  Precinct 4,1291,953,73%,535,532,230,207,30,25,14,6,12,8,1
Caledonia Township  Precinct 5,2334,1566,67%,868,889,393,355,35,30,26,16,12,9,2
Caledonia Township  Precinct 6,1871,1284,68%,614,622,400,361,35,26,26,18,13,13,6
Cannon Township  Precinct 1,2060,1524,73%,791,764,426,402,37,30,21,11,21,13,2
Cannon Township  Precinct 2,1931,1341,69%,687,675,376,328,40,30,28,18,19,20,12
Cannon Township  Precinct 3,1591,1175,73%,565,559,379,349,28,23,18,10,10,9,5
Cannon Township  Precinct 4,2241,1608,71%,832,832,461,425,37,36,21,20,9,11,11
Cannon Township  Precinct 5,1562,1147,73%,622,630,295,243,32,30,16,8,9,12,8
Cannon Township  Precinct 6,1862,1343,72%,658,659,373,331,41,35,20,13,15,16,8
Cascade Charter Township  Precinct 1,1348,1041,77%,577,577,314,274,19,11,14,8,7,6,0
Cascade Charter Township  Precinct 2,1661,1245,74%,630,617,424,376,36,27,14,9,5,5,6
Cascade Charter Township  Precinct 3,1105,849,76%,405,413,303,289,14,11,11,9,10,10,4
Cascade Charter Township  Precinct 4,1619,1263,78%,585,587,428,400,39,29,17,6,14,11,6
Cascade Charter Township  Precinct 5,2259,1714,75%,914,892,523,482,39,29,24,13,18,13,1
Cascade Charter Township  Precinct 6,1465,1097,74%,455,467,429,389,29,20,17,12,13,7,1
Cascade Charter Township  Precinct 7,1187,792,66%,364,375,265,251,20,12,13,7,10,8,3
Cascade Charter Township  Precinct 8,1292,1035,80%,433,431,427,382,31,30,19,11,12,8,5
Cascade Charter Township  Precinct 9,1392,1098,78%,516,524,372,346,29,21,12,1,10,8,1
Cascade Charter Township  Precinct 10,1318,974,73%,489,508,298,270,28,22,13,9,10,9,4
Cedar Springs  Precinct 1,2310,1087,47%,475,465,327,284,44,23,39,20,15,19,4
Courtland Township  Precinct 1,2011,1433,71%,707,667,421,391,43,30,30,20,14,11,6
Courtland Township  Precinct 2,2201,1518,68%,792,770,374,345,38,31,36,21,21,18,8
Courtland Township  Precinct 3,2268,1427,62%,738,757,368,342,31,28,27,15,26,19,8
East Grand Rapids  Ward 1  Precinct 1,1509,1137,75%,379,362,581,568,19,13,7,1,14,8,2
East Grand Rapids  Ward 1  Precinct 2,1476,1134,76%,406,421,534,516,27,19,13,8,13,15,1
East Grand Rapids  Ward 2  Precinct 3,1514,1116,73%,369,369,551,527,18,9,9,9,14,8,5
East Grand Rapids  Ward 2  Precinct 4,1391,1052,75%,300,324,546,517,30,19,12,6,25,8,5
East Grand Rapids  Ward 3  Precinct 5,1476,1091,73%,319,337,574,545,21,16,9,3,14,9,2
East Grand Rapids  Ward 3  Precinct 6,1506,1125,74%,295,308,620,601,22,13,3,3,14,5,5
Gaines Charter Township  Precinct 1,2081,1502,72%,943,927,270,264,34,25,27,18,17,11,5
Gaines Charter Township  Precinct 2,1630,1069,65%,533,534,354,305,31,18,12,5,5,5,2
Gaines Charter Township  Precinct 3,2172,1272,58%,686,683,327,296,42,27,24,20,10,12,8
Gaines Charter Township  Precinct 4,2879,1178,40%,412,424,491,434,48,18,41,25,14,21,9
Gaines Charter Township  Precinct 5,1905,937,49%,294,279,446,397,30,28,21,15,13,15,9
Gaines Charter Township  Precinct 6,1965,1385,70%,796,794,347,318,35,24,17,13,10,13,6
Gaines Charter Township  Precinct 7,2566,1811,70%,1026,1024,476,430,54,26,26,11,19,15,2
Gaines Charter Township  Precinct 8,2266,1430,63%,739,719,407,350,34,31,32,23,15,12,13
Gaines Charter Township  Precinct 9,1764,1133,64%,469,463,468,419,20,15,17,12,9,6,4
Grand Rapids  Ward 1  Precinct 1,2432,1089,44%,221,216,570,498,48,34,23,13,33,23,11
Grand Rapids  Ward 1  Precinct 2,1324,516,38%,77,80,294,272,21,15,17,13,13,14,5
Grand Rapids  Ward 1  Precinct 3,1992,1336,67%,334,321,737,669,38,21,22,15,15,12,6
Grand Rapids  Ward 1  Precinct 4,1786,1157,64%,201,206,707,644,28,21,19,7,16,11,6
Grand Rapids  Ward 1  Precinct 5,1312,691,52%,127,140,362,336,22,17,13,6,21,15,2
Grand Rapids  Ward 1  Precinct 6,2149,1457,67%,493,518,623,561,32,36,26,15,27,24,7
Grand Rapids  Ward 1  Precinct 7,937,622,66%,229,224,240,233,13,21,5,5,10,8,7
Grand Rapids  Ward 1  Precinct 8,1265,920,72%,247,258,448,417,34,35,18,14,15,10,5
Grand Rapids  Ward 1  Precinct 9,2671,895,33%,164,165,543,464,32,19,18,5,22,20,9
Grand Rapids  Ward 1  Precinct 10,1757,1061,60%,291,304,518,474,29,23,15,10,22,13,6
Grand Rapids  Ward 1  Precinct 11,819,634,77%,241,231,258,247,17,16,12,8,6,4,3
Grand Rapids  Ward 1  Precinct 12,1895,732,38%,116,124,420,384,28,25,22,11,23,10,5
Grand Rapids  Ward 1  Precinct 13,2150,940,43%,245,235,490,447,38,35,12,6,11,15,8
Grand Rapids  Ward 1  Precinct 14,2101,1271,60%,335,326,608,545,51,41,24,14,23,19,6
Grand Rapids  Ward 1  Precinct 15,2003,573,28%,56,58,406,357,16,7,16,6,10,13,5
Grand Rapids  Ward 1  Precinct 16,2074,678,32%,75,78,438,370,15,9,11,11,12,18,5
Grand Rapids  Ward 1  Precinct 17,2352,1170,49%,293,299,564,482,48,35,26,14,31,17,12
Grand Rapids  Ward 1  Precinct 18,1152,438,38%,29,37,313,265,12,4,11,4,3,11,9
Grand Rapids  Ward 1  Precinct 19,2134,990,46%,213,217,509,444,63,39,22,16,31,29,10
Grand Rapids  Ward 1  Precinct 20,2160,1614,74%,646,627,608,561,45,34,22,18,27,25,12
Grand Rapids  Ward 1  Precinct 21,1827,1363,74%,604,592,450,417,35,45,19,16,13,14,10
Grand Rapids  Ward 1  Precinct 22,747,238,31%,21,24,155,136,3,6,8,4,5,7,0
Grand Rapids  Ward 1  Precinct 23,1820,1338,73%,552,560,478,439,33,36,18,12,12,16,6
Grand Rapids  Ward 1  Precinct 24,1782,479,26%,24,28,318,273,19,8,15,8,6,18,2
Grand Rapids  Ward 2  Precinct 25,1324,797,60%,106,104,511,478,26,21,8,9,25,14,7
Grand Rapids  Ward 2  Precinct 26,1710,1009,59%,262,251,518,481,30,24,19,13,24,17,8
Grand Rapids  Ward 2  Precinct 27,1297,757,58%,147,158,399,366,42,25,15,9,13,9,7
Grand Rapids  Ward 2  Precinct 28,2027,1159,57%,247,249,646,595,48,41,28,17,30,15,4
Grand Rapids  Ward 2  Precinct 29,1926,806,41%,139,146,453,409,25,19,17,10,26,25,9
Grand Rapids  Ward 2  Precinct 30,1694,1248,73%,265,261,724,682,33,27,14,7,29,14,4
Grand Rapids  Ward 2  Precinct 31,2277,1205,52%,236,234,633,598,52,43,27,18,31,23,5
Grand Rapids  Ward 2  Precinct 32,1428,746,52%,142,136,446,397,32,20,9,7,15,7,4
Grand Rapids  Ward 2  Precinct 33,1072,742,69%,118,127,466,449,27,17,4,3,12,6,2
Grand Rapids  Ward 2  Precinct 34,2128,1248,58%,292,300,685,615,30,22,15,15,14,18,8
Grand Rapids  Ward 2  Precinct 35,1960,1356,69%,414,427,645,608,35,29,25,15,24,16,12
Grand Rapids  Ward 2  Precinct 36,1025,560,54%,160,149,254,235,24,14,16,16,9,11,5
Grand Rapids  Ward 2  Precinct 37,2460,1635,66%,508,491,755,708,49,39,26,13,28,20,11
Grand Rapids  Ward 2  Precinct 38,2774,1449,52%,291,281,792,731,53,38,21,15,35,21,17
Grand Rapids  Ward 2  Precinct 39,1064,600,56%,62,57,403,385,13,12,8,2,9,7,3
Grand Rapids  Ward 2  Precinct 40,1864,1218,65%,148,146,812,778,44,22,18,3,33,17,13
"



Grand Rapids  Ward 2  Precinct  41*
*

Ward 2, Precinct 41
Election day ballots cast at the Ward 2, Precinct 41 polling place were uploaded into the reporting system twice. The actual number of total ballots cast in this precinct was 1,541, a 62.2% turnout. The error did not change the outcome of any candidate races or ballot proposals. Numbers shown on this webpage are certified and cannot be altered.

×


",2477,2771,111%,819,793,1246,1126,127,79,54,25,55,44,23
Grand Rapids  Ward 2  Precinct 42,1918,1359,70%,368,369,664,621,38,42,14,12,30,15,3
Grand Rapids  Ward 2  Precinct 43,1741,1142,65%,331,341,528,464,25,25,25,13,21,11,8
Grand Rapids  Ward 2  Precinct 44,1887,1259,66%,442,438,556,515,34,25,24,10,24,18,6
Grand Rapids  Ward 2  Precinct 45,2124,1495,70%,577,570,634,555,32,27,27,16,16,15,5
Grand Rapids  Ward 2  Precinct 46,2268,1248,55%,385,386,599,538,38,27,20,13,12,18,4
Grand Rapids  Ward 2  Precinct 47,1676,1275,76%,405,385,629,577,25,16,16,8,19,11,2
Grand Rapids  Ward 2  Precinct 48,1482,840,56%,124,126,519,474,35,25,14,11,24,8,3
Grand Rapids  Ward 2  Precinct 49,2046,1136,55%,159,138,719,665,42,27,17,5,24,16,9
Grand Rapids  Ward 2  Precinct 50,2306,1432,62%,161,149,1000,947,41,27,11,10,30,13,5
Grand Rapids  Ward 3  Precinct 51,1724,885,51%,206,199,497,412,24,17,23,12,12,13,11
Grand Rapids  Ward 3  Precinct 52,915,521,56%,41,46,370,340,17,12,9,5,11,4,4
Grand Rapids  Ward 3  Precinct 53,2863,1739,60%,737,739,660,594,35,29,17,14,18,15,6
Grand Rapids  Ward 3  Precinct 54,1502,1022,68%,389,396,455,387,28,19,9,7,2,5,8
Grand Rapids  Ward 3  Precinct 55,2164,1449,66%,484,460,713,642,23,18,12,10,25,9,6
Grand Rapids  Ward 3  Precinct 56,2007,1289,64%,430,428,636,559,35,30,21,16,11,8,0
Grand Rapids  Ward 3  Precinct 57,1234,805,65%,211,208,437,378,21,12,12,5,4,11,2
Grand Rapids  Ward 3  Precinct 58,1771,1130,63%,387,404,534,486,27,16,16,8,7,10,4
Grand Rapids  Ward 3  Precinct 59,2393,1610,67%,413,429,878,803,47,25,15,12,20,11,5
Grand Rapids  Ward 3  Precinct 60,2375,1329,55%,132,129,951,857,35,23,17,6,41,16,6
Grand Rapids  Ward 3  Precinct 61,899,571,63%,89,94,360,321,17,14,5,2,17,6,1
Grand Rapids  Ward 3  Precinct 62,1823,851,46%,114,110,587,511,28,20,11,11,9,16,5
Grand Rapids  Ward 3  Precinct 63,1860,891,47%,86,86,637,538,24,6,15,12,13,16,3
Grand Rapids  Ward 3  Precinct 64,1984,885,44%,159,159,544,431,33,20,17,12,11,8,7
Grand Rapids  Ward 3  Precinct 65,2000,965,48%,216,216,571,488,20,12,20,14,9,9,1
Grand Rapids  Ward 3  Precinct 66,2363,819,34%,31,38,618,511,14,6,14,11,12,14,12
Grand Rapids  Ward 3  Precinct 67,2799,1032,36%,51,51,797,694,19,6,13,7,6,9,3
Grand Rapids  Ward 3  Precinct 68,1642,1135,69%,187,187,735,682,20,12,13,9,16,14,7
Grand Rapids  Ward 3  Precinct 69,1359,983,72%,385,403,397,361,19,11,11,9,12,7,3
Grand Rapids  Ward 3  Precinct 70,1791,660,36%,22,21,526,428,11,4,13,7,4,9,8
Grand Rapids  Ward 3  Precinct 71,1695,957,56%,132,126,635,561,26,17,8,6,13,6,11
Grand Rapids  Ward 3  Precinct 72,871,603,69%,122,128,349,302,18,13,13,1,9,8,1
Grand Rapids  Ward 3  Precinct 73,1165,766,65%,215,206,402,363,16,8,8,3,5,7,1
Grand Rapids  Ward 3  Precinct 74,1371,808,58%,154,150,456,405,43,22,12,5,17,17,3
Grand Rapids  Ward 3  Precinct 75,1209,602,49%,69,67,392,358,17,14,21,3,11,9,3
Grand Rapids  Ward 3  Precinct 76,1577,653,41%,30,34,482,423,13,9,2,6,13,10,3
Grand Rapids  Ward 3  Precinct 77,1291,916,70%,234,226,508,462,23,13,8,6,12,8,2
Grand Rapids Charter Township  Precinct 1,1513,1075,71%,553,548,337,315,35,19,5,5,17,7,4
Grand Rapids Charter Township  Precinct 2,1016,738,72%,319,311,268,258,15,19,8,5,10,9,3
Grand Rapids Charter Township  Precinct 3,1812,1358,74%,602,607,549,520,31,25,13,7,12,8,2
Grand Rapids Charter Township  Precinct 4,1733,1263,72%,534,537,509,481,28,22,22,13,18,15,9
Grand Rapids Charter Township  Precinct 5,1863,1364,73%,538,566,556,508,35,32,11,10,23,12,8
Grand Rapids Charter Township  Precinct 6,1720,1276,74%,549,544,475,445,39,29,17,9,18,8,6
Grand Rapids Charter Township  Precinct 7,1043,669,64%,266,274,230,220,17,11,10,6,12,6,4
Grand Rapids Charter Township  Precinct 8,1783,1300,72%,565,589,496,432,31,20,16,8,18,19,8
Grand Rapids Charter Township  Precinct 9,1156,892,77%,459,465,257,241,29,19,12,5,2,7,4
Grandville  Precinct 1,1577,1029,65%,449,443,331,303,37,26,21,16,14,11,9
Grandville  Precinct 2,2014,1232,61%,542,511,413,371,57,29,20,10,19,6,12
Grandville  Precinct 3,2197,1391,63%,672,650,408,358,51,40,28,13,17,15,6
Grandville  Precinct 4,1979,1483,74%,744,720,470,411,32,32,29,20,13,9,8
Grandville  Precinct 5,2147,1489,69%,788,747,451,402,29,23,23,12,11,14,13
Grandville  Precinct 6,1655,1182,71%,608,603,338,310,27,23,23,16,13,14,7
Grattan Township  Precinct 1,1502,993,66%,530,513,257,219,32,23,24,22,10,10,2
Grattan Township  Precinct 2,1598,1133,70%,517,504,351,341,33,23,20,14,17,16,4
Kentwood  Ward 1  Precinct 1,2072,1009,48%,372,371,427,344,26,19,20,12,12,11,6
Kentwood  Ward 1  Precinct 2,2787,1711,61%,614,588,770,683,56,41,35,20,27,23,12
Kentwood  Ward 1  Precinct 3,1524,971,63%,353,345,424,376,32,14,23,15,5,13,0
Kentwood  Ward 1  Precinct 4,1385,654,47%,179,189,293,256,21,17,24,22,10,7,3
Kentwood  Ward 1  Precinct 5,1192,647,54%,234,233,261,227,16,9,17,8,6,12,1
Kentwood  Ward 1  Precinct 6,2226,1085,48%,388,381,452,405,24,24,20,19,16,16,3
Kentwood  Ward 1  Precinct 7,1944,1075,55%,311,319,566,490,31,21,16,10,15,16,4
Kentwood  Ward 1  Precinct 8,2348,1578,67%,641,638,677,573,49,23,25,10,18,25,2
Kentwood  Ward 1  Precinct 9,2145,1149,53%,342,339,577,508,31,19,24,14,16,14,3
Kentwood  Ward 2  Precinct 10,2150,1401,65%,496,514,637,562,29,18,22,15,16,14,3
Kentwood  Ward 2  Precinct 11,2803,1759,62%,628,621,809,756,34,22,32,16,17,14,9
Kentwood  Ward 2  Precinct 12,1551,929,59%,275,269,496,436,28,17,15,11,7,7,6
Kentwood  Ward 2  Precinct 13,2030,1207,59%,501,496,504,446,16,10,14,5,15,16,8
Kentwood  Ward 2  Precinct 14,787,514,65%,187,189,204,177,17,8,15,11,14,4,0
Kentwood  Ward 2  Precinct 15,2618,1231,47%,265,274,743,671,23,19,24,9,22,18,10
Kentwood  Ward 2  Precinct 16,2612,1825,69%,733,716,762,694,45,33,29,16,27,11,9
Kentwood  Ward 2  Precinct 17,1674,765,45%,189,186,420,374,19,13,13,7,5,7,0
Kentwood  Ward 2  Precinct 18,2017,1003,49%,252,251,529,455,28,19,18,16,20,18,7
Lowell  Precinct 1,1606,965,60%,346,343,375,346,38,23,33,17,19,20,13
Lowell  Precinct 2,1377,738,53%,305,309,237,215,30,23,12,8,14,14,0
Lowell Charter Township  Precinct 1,2438,1661,68%,809,801,482,440,41,39,33,24,18,15,5
Lowell Charter Township  Precinct 2,2269,1350,59%,562,563,448,410,68,44,36,20,23,23,6
Nelson Township  Precinct 1,2306,1112,48%,533,539,302,246,27,15,30,20,13,20,6
Nelson Township  Precinct 2,1580,968,61%,507,493,235,206,23,19,25,13,16,6,3
Oakfield Township  Precinct 1,1557,983,63%,440,439,300,274,39,25,23,15,15,19,13
Oakfield Township  Precinct 2,1812,1080,59%,520,541,301,271,27,18,31,20,15,22,7
Oakfield Township  Precinct 3 ,1321,783,59%,362,359,257,219,21,17,14,13,6,11,3
Plainfield Charter Township  Precinct 1,2614,1944,74%,919,885,617,548,49,31,37,21,23,23,10
Plainfield Charter Township  Precinct 2,2249,1437,63%,648,637,457,414,47,28,28,13,17,15,12
Plainfield Charter Township  Precinct 3,2112,1215,57%,436,438,466,424,57,36,34,24,23,30,7
Plainfield Charter Township  Precinct 4,2300,1467,63%,568,582,539,490,54,32,29,16,17,17,2
Plainfield Charter Township  Precinct 5,2123,1393,65%,515,541,526,501,48,32,30,19,24,18,17
Plainfield Charter Township  Precinct 6,3012,2043,67%,989,966,631,565,57,42,51,28,21,27,4
Plainfield Charter Township  Precinct 7,2717,1948,71%,972,977,663,611,48,38,23,8,17,8,8
Plainfield Charter Township  Precinct 8,2819,1909,67%,730,767,718,679,55,43,48,30,32,20,10
Plainfield Charter Township  Precinct 9,2445,1611,65%,724,715,530,486,48,36,40,24,18,24,5
Plainfield Charter Township  Precinct 10,1777,1345,75%,643,627,420,374,38,33,25,13,14,11,5
Plainfield Charter Township  Precinct 11,1706,1286,75%,603,605,430,401,42,42,17,18,17,14,6
Rockford  Precinct 1,1866,1204,64%,455,457,464,441,29,23,32,16,6,11,6
Rockford  Precinct 2,2510,1730,68%,694,657,627,576,42,34,27,19,27,23,12
Solon Township  Precinct 1,1814,1095,60%,534,527,278,275,39,28,28,21,9,12,2
Solon Township  Precinct 2,2765,1630,58%,823,792,395,350,64,42,44,39,19,30,9
Sparta Township  Precinct 1,2898,1650,56%,642,646,541,482,61,44,50,34,28,43,10
Sparta Township  Precinct 2,1516,912,60%,470,468,228,200,20,16,25,13,14,16,3
Sparta Township  Precinct 3,1969,1135,57%,519,535,311,262,36,26,31,17,19,28,7
Spencer Township  Precinct 1,2952,1803,61%,898,880,464,413,45,36,52,30,21,27,12
Tyrone Township  Precinct 1,1760,1063,60%,544,541,255,230,20,17,36,16,13,23,8
Tyrone Township  Precinct 2,1401,819,58%,402,429,210,186,20,8,30,13,6,8,6
Vergennes Township  Precinct 1,1870,1365,72%,718,705,351,333,39,30,30,20,9,10,4
Vergennes Township  Precinct 2,1653,1167,70%,570,567,339,315,33,24,23,16,12,15,7
Walker  Ward 1  Precinct 1,2037,997,48%,295,280,494,431,40,32,26,7,17,19,13
Walker  Ward 1  Precinct 2,1733,1176,67%,495,495,433,387,37,30,25,18,9,23,2
Walker  Ward 1  Precinct 3,1996,1316,65%,499,485,509,476,41,44,31,24,18,8,15
Walker  Ward 2  Precinct 4,2243,1567,69%,718,706,483,429,42,42,32,18,17,16,4
Walker  Ward 2  Precinct 5,1904,1341,70%,603,597,418,376,30,23,22,15,17,16,3
Walker  Ward 2  Precinct 6,1880,1193,63%,505,518,387,360,40,28,26,17,12,13,4
Walker  Ward 3  Precinct 7,1966,1352,68%,526,532,488,426,53,36,15,14,20,20,9
Walker  Ward 3  Precinct 8,1759,1268,72%,657,655,353,317,30,23,23,11,14,7,1
Walker  Ward 3  Precinct 9,1981,1274,64%,538,532,490,446,34,32,20,14,19,15,8
Wyoming  Ward 1  Precinct 1,1870,915,48%,279,277,421,375,28,15,33,10,10,25,8
Wyoming  Ward 1  Precinct 2,1311,535,40%,141,148,247,208,14,10,18,9,10,12,3
Wyoming  Ward 1  Precinct 3,2130,940,44%,253,257,446,374,28,23,22,14,18,19,4
Wyoming  Ward 1  Precinct 4,2019,1071,53%,384,385,431,379,25,21,24,15,14,23,6
Wyoming  Ward 1  Precinct 5,2086,1037,49%,306,312,480,419,23,24,32,18,17,18,6
Wyoming  Ward 1  Precinct 6,1502,729,48%,211,202,352,328,27,16,21,11,16,22,4
Wyoming  Ward 1  Precinct 7,1890,1143,60%,521,526,404,360,32,23,15,5,13,11,4
Wyoming  Ward 1  Precinct 8,1230,576,46%,189,181,229,188,23,15,21,14,11,6,2
Wyoming  Ward 1  Precinct 9,2268,1029,45%,311,296,492,420,33,22,31,12,26,31,3
Wyoming  Ward 2  Precinct 10,1478,665,44%,189,185,325,271,19,21,17,13,13,15,2
Wyoming  Ward 2  Precinct 11,1351,568,42%,124,114,297,261,21,10,16,21,17,15,4
Wyoming  Ward 2  Precinct 12,1280,508,39%,145,148,254,206,21,9,15,7,9,12,2
Wyoming  Ward 2  Precinct 13,1666,873,52%,302,292,364,314,24,19,25,10,16,15,4
Wyoming  Ward 2  Precinct 14,1166,666,57%,274,284,238,203,28,14,15,7,12,13,3
Wyoming  Ward 2  Precinct 15,968,530,54%,182,184,219,196,18,18,10,3,9,11,3
Wyoming  Ward 2  Precinct 16,1352,771,57%,305,304,280,253,32,21,13,5,14,10,4
Wyoming  Ward 2  Precinct 17,1923,793,41%,206,206,412,354,19,16,16,2,13,24,12
Wyoming  Ward 2  Precinct 18,1211,667,55%,225,208,271,248,21,19,9,11,11,18,5
Wyoming  Ward 2  Precinct 19,1853,1047,56%,343,347,462,407,25,25,28,15,16,21,5
Wyoming  Ward 2  Precinct 20,1939,1002,51%,311,315,433,383,41,25,32,18,16,14,9
Wyoming  Ward 3  Precinct 21,2306,1266,54%,473,500,458,434,37,32,30,17,17,18,5
Wyoming  Ward 3  Precinct 22,1327,781,58%,304,297,315,268,19,8,18,12,9,15,1
Wyoming  Ward 3  Precinct 23,2223,1060,47%,336,335,485,425,39,32,25,11,25,21,8
Wyoming  Ward 3  Precinct 24,2330,1202,51%,454,457,453,414,50,35,31,19,13,20,5
Wyoming  Ward 3  Precinct 25,1673,1175,70%,582,589,347,317,36,33,16,12,13,11,2
Wyoming  Ward 3  Precinct 26,1254,791,63%,324,322,309,277,25,20,12,4,7,2,6
Wyoming  Ward 3  Precinct 27,1233,767,62%,329,329,282,236,19,17,14,6,5,7,1
Wyoming  Ward 3  Precinct 28,1984,1344,67%,649,644,422,376,33,32,32,20,14,11,9
Wyoming  Ward 3  Precinct 29,1566,1104,70%,548,523,361,316,24,17,16,10,9,6,3
Wyoming  Ward 3  Precinct 30,1989,1405,70%,744,722,388,360,39,22,17,5,8,13,13
